,Model,MAE,MSE,RMSE,R2 Score,Adjusted R2 score
0,Polynomial Linear Regression,4.2688508319588605,38.8468686617072,6.232725620601888,0.5229324163738781,
1,Polynomial Linear Regression Degree=20,18.2712026684582,15406.574092436216,124.12322140693988,-188.20384904743952,
2,Multiple Linear Regression,3.8429092204444952,33.448979997676474,5.78350931508513,0.5892223849182514,-35.144402895673466
